UKPRN,HE Provider,Country of HE provider,Region of HE provider,Academic Year,Nature of Event,Metric,Type of event,Value
10007143,University of Durham,England,North East,2017/18,Chargeable events,Academic staff time (days),Public lectures,70
10007143,University of Durham,England,North East,2017/18,Chargeable events,Academic staff time (days),"Performance arts (music, dance, drama etc.)",8
10007143,University of Durham,England,North East,2017/18,Chargeable events,Academic staff time (days),"Exhibitions (galleries, museums etc.)",145
10007143,University of Durham,England,North East,2017/18,Chargeable events,Academic staff time (days),Museum education,6
10007143,University of Durham,England,North East,2017/18,Chargeable events,Academic staff time (days),Other,55
10007143,University of Durham,England,North East,2017/18,Chargeable events,Attendees,Public lectures,6577
10007143,University of Durham,England,North East,2017/18,Chargeable events,Attendees,"Performance arts (music, dance, drama etc.)",23474
10007143,University of Durham,England,North East,2017/18,Chargeable events,Attendees,"Exhibitions (galleries, museums etc.)",31420
10007143,University of Durham,England,North East,2017/18,Chargeable events,Attendees,Museum education,4407
10007143,University of Durham,England,North East,2017/18,Chargeable events,Attendees,Other,414072
10007143,University of Durham,England,North East,2017/18,Free events,Academic staff time (days),Public lectures,269
10007143,University of Durham,England,North East,2017/18,Free events,Academic staff time (days),"Performance arts (music, dance, drama etc.)",6
10007143,University of Durham,England,North East,2017/18,Free events,Academic staff time (days),"Exhibitions (galleries, museums etc.)",41
10007143,University of Durham,England,North East,2017/18,Free events,Academic staff time (days),Museum education,28
10007143,University of Durham,England,North East,2017/18,Free events,Academic staff time (days),Other,785
10007143,University of Durham,England,North East,2017/18,Free events,Attendees,Public lectures,11106
10007143,University of Durham,England,North East,2017/18,Free events,Attendees,"Performance arts (music, dance, drama etc.)",916
10007143,University of Durham,England,North East,2017/18,Free events,Attendees,"Exhibitions (galleries, museums etc.)",48108
10007143,University of Durham,England,North East,2017/18,Free events,Attendees,Museum education,4284
10007143,University of Durham,England,North East,2017/18,Free events,Attendees,Other,807204
10007143,University of Durham,England,North East,2018/19,Chargeable events,Academic staff time (days),Public lectures,72
10007143,University of Durham,England,North East,2018/19,Chargeable events,Academic staff time (days),"Performance arts (music, dance, drama etc.)",22
10007143,University of Durham,England,North East,2018/19,Chargeable events,Academic staff time (days),"Exhibitions (galleries, museums etc.)",11
10007143,University of Durham,England,North East,2018/19,Chargeable events,Academic staff time (days),Museum education,2
10007143,University of Durham,England,North East,2018/19,Chargeable events,Academic staff time (days),Other,120
10007143,University of Durham,England,North East,2018/19,Chargeable events,Attendees,Public lectures,4452
10007143,University of Durham,England,North East,2018/19,Chargeable events,Attendees,"Performance arts (music, dance, drama etc.)",1079
10007143,University of Durham,England,North East,2018/19,Chargeable events,Attendees,"Exhibitions (galleries, museums etc.)",31510
10007143,University of Durham,England,North East,2018/19,Chargeable events,Attendees,Museum education,4860
10007143,University of Durham,England,North East,2018/19,Chargeable events,Attendees,Other,258053
10007143,University of Durham,England,North East,2018/19,Free events,Academic staff time (days),Public lectures,270
10007143,University of Durham,England,North East,2018/19,Free events,Academic staff time (days),"Performance arts (music, dance, drama etc.)",20
10007143,University of Durham,England,North East,2018/19,Free events,Academic staff time (days),"Exhibitions (galleries, museums etc.)",144
10007143,University of Durham,England,North East,2018/19,Free events,Academic staff time (days),Museum education,12
10007143,University of Durham,England,North East,2018/19,Free events,Academic staff time (days),Other,876
10007143,University of Durham,England,North East,2018/19,Free events,Attendees,Public lectures,18408
10007143,University of Durham,England,North East,2018/19,Free events,Attendees,"Performance arts (music, dance, drama etc.)",1378
10007143,University of Durham,England,North East,2018/19,Free events,Attendees,"Exhibitions (galleries, museums etc.)",19161
10007143,University of Durham,England,North East,2018/19,Free events,Attendees,Museum education,2894
10007143,University of Durham,England,North East,2018/19,Free events,Attendees,Other,1151194
10007143,University of Durham,England,North East,2019/20,Chargeable events,Academic staff time (days),Public lectures,153
10007143,University of Durham,England,North East,2019/20,Chargeable events,Academic staff time (days),"Performance arts (music, dance, drama etc.)",57
10007143,University of Durham,England,North East,2019/20,Chargeable events,Academic staff time (days),"Exhibitions (galleries, museums etc.)",0
10007143,University of Durham,England,North East,2019/20,Chargeable events,Academic staff time (days),Museum education,13
10007143,University of Durham,England,North East,2019/20,Chargeable events,Academic staff time (days),Other,187
10007143,University of Durham,England,North East,2019/20,Chargeable events,Attendees,Public lectures,10840
10007143,University of Durham,England,North East,2019/20,Chargeable events,Attendees,"Performance arts (music, dance, drama etc.)",4120
10007143,University of Durham,England,North East,2019/20,Chargeable events,Attendees,"Exhibitions (galleries, museums etc.)",37074
10007143,University of Durham,England,North East,2019/20,Chargeable events,Attendees,Museum education,1762
10007143,University of Durham,England,North East,2019/20,Chargeable events,Attendees,Other,169870
10007143,University of Durham,England,North East,2019/20,Free events,Academic staff time (days),Public lectures,506
10007143,University of Durham,England,North East,2019/20,Free events,Academic staff time (days),"Performance arts (music, dance, drama etc.)",12
10007143,University of Durham,England,North East,2019/20,Free events,Academic staff time (days),"Exhibitions (galleries, museums etc.)",9
10007143,University of Durham,England,North East,2019/20,Free events,Academic staff time (days),Museum education,36
10007143,University of Durham,England,North East,2019/20,Free events,Academic staff time (days),Other,929
10007143,University of Durham,England,North East,2019/20,Free events,Attendees,Public lectures,20178
10007143,University of Durham,England,North East,2019/20,Free events,Attendees,"Performance arts (music, dance, drama etc.)",180
10007143,University of Durham,England,North East,2019/20,Free events,Attendees,"Exhibitions (galleries, museums etc.)",27745
10007143,University of Durham,England,North East,2019/20,Free events,Attendees,Museum education,3781
10007143,University of Durham,England,North East,2019/20,Free events,Attendees,Other,255101
10007143,University of Durham,England,North East,2020/21,Chargeable events,Academic staff time (days),Public lectures,113
10007143,University of Durham,England,North East,2020/21,Chargeable events,Academic staff time (days),"Performance arts (music, dance, drama etc.)",5
10007143,University of Durham,England,North East,2020/21,Chargeable events,Academic staff time (days),"Exhibitions (galleries, museums etc.)",8
10007143,University of Durham,England,North East,2020/21,Chargeable events,Academic staff time (days),Museum education,0
10007143,University of Durham,England,North East,2020/21,Chargeable events,Academic staff time (days),Other,154
10007143,University of Durham,England,North East,2020/21,Chargeable events,Attendees,Public lectures,2597
10007143,University of Durham,England,North East,2020/21,Chargeable events,Attendees,"Performance arts (music, dance, drama etc.)",30
10007143,University of Durham,England,North East,2020/21,Chargeable events,Attendees,"Exhibitions (galleries, museums etc.)",0
10007143,University of Durham,England,North East,2020/21,Chargeable events,Attendees,Museum education,3823
10007143,University of Durham,England,North East,2020/21,Chargeable events,Attendees,Other,62897
10007143,University of Durham,England,North East,2020/21,Free events,Academic staff time (days),Public lectures,568
10007143,University of Durham,England,North East,2020/21,Free events,Academic staff time (days),"Performance arts (music, dance, drama etc.)",31
10007143,University of Durham,England,North East,2020/21,Free events,Academic staff time (days),"Exhibitions (galleries, museums etc.)",0
10007143,University of Durham,England,North East,2020/21,Free events,Academic staff time (days),Museum education,0
10007143,University of Durham,England,North East,2020/21,Free events,Academic staff time (days),Other,1733
10007143,University of Durham,England,North East,2020/21,Free events,Attendees,Public lectures,18964
10007143,University of Durham,England,North East,2020/21,Free events,Attendees,"Performance arts (music, dance, drama etc.)",505
10007143,University of Durham,England,North East,2020/21,Free events,Attendees,"Exhibitions (galleries, museums etc.)",16332
10007143,University of Durham,England,North East,2020/21,Free events,Attendees,Museum education,8544
10007143,University of Durham,England,North East,2020/21,Free events,Attendees,Other,258428
10007143,University of Durham,England,North East,2021/22,Chargeable events,Academic staff time (days),Public lectures,60
10007143,University of Durham,England,North East,2021/22,Chargeable events,Academic staff time (days),"Performance arts (music, dance, drama etc.)",20
10007143,University of Durham,England,North East,2021/22,Chargeable events,Academic staff time (days),"Exhibitions (galleries, museums etc.)",3
10007143,University of Durham,England,North East,2021/22,Chargeable events,Academic staff time (days),Museum education,0
10007143,University of Durham,England,North East,2021/22,Chargeable events,Academic staff time (days),Other,44
10007143,University of Durham,England,North East,2021/22,Chargeable events,Attendees,Public lectures,3726
10007143,University of Durham,England,North East,2021/22,Chargeable events,Attendees,"Performance arts (music, dance, drama etc.)",290
10007143,University of Durham,England,North East,2021/22,Chargeable events,Attendees,"Exhibitions (galleries, museums etc.)",10
10007143,University of Durham,England,North East,2021/22,Chargeable events,Attendees,Museum education,8981
10007143,University of Durham,England,North East,2021/22,Chargeable events,Attendees,Other,6783
10007143,University of Durham,England,North East,2021/22,Free events,Academic staff time (days),Public lectures,175
10007143,University of Durham,England,North East,2021/22,Free events,Academic staff time (days),"Performance arts (music, dance, drama etc.)",7
10007143,University of Durham,England,North East,2021/22,Free events,Academic staff time (days),"Exhibitions (galleries, museums etc.)",22
10007143,University of Durham,England,North East,2021/22,Free events,Academic staff time (days),Museum education,1
10007143,University of Durham,England,North East,2021/22,Free events,Academic staff time (days),Other,723
10007143,University of Durham,England,North East,2021/22,Free events,Attendees,Public lectures,7287
10007143,University of Durham,England,North East,2021/22,Free events,Attendees,"Performance arts (music, dance, drama etc.)",180
10007143,University of Durham,England,North East,2021/22,Free events,Attendees,"Exhibitions (galleries, museums etc.)",10459
10007143,University of Durham,England,North East,2021/22,Free events,Attendees,Museum education,2519
10007143,University of Durham,England,North East,2021/22,Free events,Attendees,Other,156411
10007143,University of Durham,England,North East,2022/23,Chargeable events,Academic staff time (days),Public lectures,50
10007143,University of Durham,England,North East,2022/23,Chargeable events,Academic staff time (days),"Performance arts (music, dance, drama etc.)",25
10007143,University of Durham,England,North East,2022/23,Chargeable events,Academic staff time (days),"Exhibitions (galleries, museums etc.)",0
10007143,University of Durham,England,North East,2022/23,Chargeable events,Academic staff time (days),Museum education,0
10007143,University of Durham,England,North East,2022/23,Chargeable events,Academic staff time (days),Other,67
10007143,University of Durham,England,North East,2022/23,Chargeable events,Attendees,Public lectures,7427
10007143,University of Durham,England,North East,2022/23,Chargeable events,Attendees,"Performance arts (music, dance, drama etc.)",3950
10007143,University of Durham,England,North East,2022/23,Chargeable events,Attendees,"Exhibitions (galleries, museums etc.)",50106
10007143,University of Durham,England,North East,2022/23,Chargeable events,Attendees,Museum education,12936
10007143,University of Durham,England,North East,2022/23,Chargeable events,Attendees,Other,4909
10007143,University of Durham,England,North East,2022/23,Free events,Academic staff time (days),Public lectures,146
10007143,University of Durham,England,North East,2022/23,Free events,Academic staff time (days),"Performance arts (music, dance, drama etc.)",12
10007143,University of Durham,England,North East,2022/23,Free events,Academic staff time (days),"Exhibitions (galleries, museums etc.)",28
10007143,University of Durham,England,North East,2022/23,Free events,Academic staff time (days),Museum education,2
10007143,University of Durham,England,North East,2022/23,Free events,Academic staff time (days),Other,520
10007143,University of Durham,England,North East,2022/23,Free events,Attendees,Public lectures,15876
10007143,University of Durham,England,North East,2022/23,Free events,Attendees,"Performance arts (music, dance, drama etc.)",267
10007143,University of Durham,England,North East,2022/23,Free events,Attendees,"Exhibitions (galleries, museums etc.)",68919
10007143,University of Durham,England,North East,2022/23,Free events,Attendees,Museum education,12988
10007143,University of Durham,England,North East,2022/23,Free events,Attendees,Other,157301
10007143,University of Durham,England,North East,2023/24,Chargeable events,Academic staff time (days),Public lectures,28
