UKPRN,HE Provider,Country of HE provider,Region of HE provider,Academic Year,Source of public funding,Type of income,Unit,Value
10007143,University of Durham,England,North East,2017/18,Other UK government departments,Previous year's total,£000s,1097.0
10007143,University of Durham,England,North East,2018/19,All,Public funding,£000s,9876.0
10007143,University of Durham,England,North East,2018/19,All,Collaborative contribution - Cash,£000s,435.0
10007143,University of Durham,England,North East,2018/19,All,Collaborative contribution - In kind,£000s,2747.0
10007143,University of Durham,England,North East,2018/19,All,Total,£000s,13058.0
10007143,University of Durham,England,North East,2018/19,All,Previous year's total,£000s,12470.0
10007143,University of Durham,England,North East,2018/19,EU government,Public funding,£000s,2837.0
10007143,University of Durham,England,North East,2018/19,EU government,Collaborative contribution - Cash,£000s,0.0
10007143,University of Durham,England,North East,2018/19,EU government,Collaborative contribution - In kind,£000s,112.0
10007143,University of Durham,England,North East,2018/19,EU government,Total,£000s,2949.0
10007143,University of Durham,England,North East,2018/19,EU government,Previous year's total,£000s,3396.0
10007143,University of Durham,England,North East,2018/19,Other,Public funding,£000s,274.0
10007143,University of Durham,England,North East,2018/19,Other,Collaborative contribution - Cash,£000s,10.0
10007143,University of Durham,England,North East,2018/19,Other,Collaborative contribution - In kind,£000s,10.0
10007143,University of Durham,England,North East,2018/19,Other,Total,£000s,294.0
10007143,University of Durham,England,North East,2018/19,Other,Previous year's total,£000s,126.0
10007143,University of Durham,England,North East,2018/19,Other UK government departments,Public funding,£000s,597.0
10007143,University of Durham,England,North East,2018/19,Other UK government departments,Collaborative contribution - Cash,£000s,4.0
10007143,University of Durham,England,North East,2018/19,Other UK government departments,Collaborative contribution - In kind,£000s,348.0
10007143,University of Durham,England,North East,2018/19,Other UK government departments,Total,£000s,949.0
10007143,University of Durham,England,North East,2018/19,Other UK government departments,Previous year's total,£000s,809.0
10007143,University of Durham,England,North East,2018/19,"UKRI (except Research England), Royal Society and British Academy",Public funding,£000s,6168.0
10007143,University of Durham,England,North East,2018/19,"UKRI (except Research England), Royal Society and British Academy",Collaborative contribution - Cash,£000s,421.0
10007143,University of Durham,England,North East,2018/19,"UKRI (except Research England), Royal Society and British Academy",Collaborative contribution - In kind,£000s,2277.0
10007143,University of Durham,England,North East,2018/19,"UKRI (except Research England), Royal Society and British Academy",Total,£000s,8866.0
10007143,University of Durham,England,North East,2018/19,"UKRI (except Research England), Royal Society and British Academy",Previous year's total,£000s,8139.0
10007143,University of Durham,England,North East,2019/20,All,Public funding,£000s,13057.0
10007143,University of Durham,England,North East,2019/20,All,Collaborative contribution - Cash,£000s,762.0
10007143,University of Durham,England,North East,2019/20,All,Collaborative contribution - In kind,£000s,3664.0
10007143,University of Durham,England,North East,2019/20,All,Total,£000s,17483.0
10007143,University of Durham,England,North East,2019/20,All,Previous year's total,£000s,13058.0
10007143,University of Durham,England,North East,2019/20,EU government,Public funding,£000s,2079.0
10007143,University of Durham,England,North East,2019/20,EU government,Collaborative contribution - Cash,£000s,0.0
10007143,University of Durham,England,North East,2019/20,EU government,Collaborative contribution - In kind,£000s,345.0
10007143,University of Durham,England,North East,2019/20,EU government,Total,£000s,2424.0
10007143,University of Durham,England,North East,2019/20,EU government,Previous year's total,£000s,2949.0
10007143,University of Durham,England,North East,2019/20,Other,Public funding,£000s,827.0
10007143,University of Durham,England,North East,2019/20,Other,Collaborative contribution - Cash,£000s,297.0
10007143,University of Durham,England,North East,2019/20,Other,Collaborative contribution - In kind,£000s,0.0
10007143,University of Durham,England,North East,2019/20,Other,Total,£000s,1124.0
10007143,University of Durham,England,North East,2019/20,Other,Previous year's total,£000s,294.0
10007143,University of Durham,England,North East,2019/20,Other UK government departments,Public funding,£000s,465.0
10007143,University of Durham,England,North East,2019/20,Other UK government departments,Collaborative contribution - Cash,£000s,0.0
10007143,University of Durham,England,North East,2019/20,Other UK government departments,Collaborative contribution - In kind,£000s,804.0
10007143,University of Durham,England,North East,2019/20,Other UK government departments,Total,£000s,1269.0
10007143,University of Durham,England,North East,2019/20,Other UK government departments,Previous year's total,£000s,949.0
10007143,University of Durham,England,North East,2019/20,"UKRI (except Research England), Royal Society and British Academy",Public funding,£000s,9686.0
10007143,University of Durham,England,North East,2019/20,"UKRI (except Research England), Royal Society and British Academy",Collaborative contribution - Cash,£000s,465.0
10007143,University of Durham,England,North East,2019/20,"UKRI (except Research England), Royal Society and British Academy",Collaborative contribution - In kind,£000s,2515.0
10007143,University of Durham,England,North East,2019/20,"UKRI (except Research England), Royal Society and British Academy",Total,£000s,12666.0
10007143,University of Durham,England,North East,2019/20,"UKRI (except Research England), Royal Society and British Academy",Previous year's total,£000s,8866.0
10007143,University of Durham,England,North East,2020/21,All,Public funding,£000s,11191.0
10007143,University of Durham,England,North East,2020/21,All,Collaborative contribution - Cash,£000s,796.0
10007143,University of Durham,England,North East,2020/21,All,Collaborative contribution - In kind,£000s,1527.0
10007143,University of Durham,England,North East,2020/21,All,Total,£000s,13514.0
10007143,University of Durham,England,North East,2020/21,All,Previous year's total,£000s,17483.0
10007143,University of Durham,England,North East,2020/21,EU government,Public funding,£000s,1052.0
10007143,University of Durham,England,North East,2020/21,EU government,Collaborative contribution - Cash,£000s,0.0
10007143,University of Durham,England,North East,2020/21,EU government,Collaborative contribution - In kind,£000s,8.0
10007143,University of Durham,England,North East,2020/21,EU government,Total,£000s,1060.0
10007143,University of Durham,England,North East,2020/21,EU government,Previous year's total,£000s,2424.0
10007143,University of Durham,England,North East,2020/21,Other,Public funding,£000s,597.0
10007143,University of Durham,England,North East,2020/21,Other,Collaborative contribution - Cash,£000s,12.0
10007143,University of Durham,England,North East,2020/21,Other,Collaborative contribution - In kind,£000s,0.0
10007143,University of Durham,England,North East,2020/21,Other,Total,£000s,609.0
10007143,University of Durham,England,North East,2020/21,Other,Previous year's total,£000s,1124.0
10007143,University of Durham,England,North East,2020/21,Other UK government departments,Public funding,£000s,346.0
10007143,University of Durham,England,North East,2020/21,Other UK government departments,Collaborative contribution - Cash,£000s,0.0
10007143,University of Durham,England,North East,2020/21,Other UK government departments,Collaborative contribution - In kind,£000s,50.0
10007143,University of Durham,England,North East,2020/21,Other UK government departments,Total,£000s,396.0
10007143,University of Durham,England,North East,2020/21,Other UK government departments,Previous year's total,£000s,1269.0
10007143,University of Durham,England,North East,2020/21,"UKRI (except Research England), Royal Society and British Academy",Public funding,£000s,9196.0
10007143,University of Durham,England,North East,2020/21,"UKRI (except Research England), Royal Society and British Academy",Collaborative contribution - Cash,£000s,784.0
10007143,University of Durham,England,North East,2020/21,"UKRI (except Research England), Royal Society and British Academy",Collaborative contribution - In kind,£000s,1469.0
10007143,University of Durham,England,North East,2020/21,"UKRI (except Research England), Royal Society and British Academy",Total,£000s,11449.0
10007143,University of Durham,England,North East,2020/21,"UKRI (except Research England), Royal Society and British Academy",Previous year's total,£000s,12666.0
10007143,University of Durham,England,North East,2021/22,All,Public funding,£000s,9341.0
10007143,University of Durham,England,North East,2021/22,All,Collaborative contribution - Cash,£000s,597.0
10007143,University of Durham,England,North East,2021/22,All,Collaborative contribution - In kind,£000s,1689.0
