UKPRN,HE Provider,Country of HE provider,Region of HE provider,Academic Year,Source of public funding,Type of income,Unit,Value
10007799,Newcastle University,England,North East,2018/19,Other,Previous year's total,£000s,14317.0
10007799,Newcastle University,England,North East,2018/19,Other UK government departments,Public funding,£000s,16311.0
10007799,Newcastle University,England,North East,2018/19,Other UK government departments,Collaborative contribution - Cash,£000s,0.0
10007799,Newcastle University,England,North East,2018/19,Other UK government departments,Collaborative contribution - In kind,£000s,7.0
10007799,Newcastle University,England,North East,2018/19,Other UK government departments,Total,£000s,16318.0
10007799,Newcastle University,England,North East,2018/19,Other UK government departments,Previous year's total,£000s,15816.0
10007799,Newcastle University,England,North East,2018/19,"UKRI (except Research England), Royal Society and British Academy",Public funding,£000s,14658.0
10007799,Newcastle University,England,North East,2018/19,"UKRI (except Research England), Royal Society and British Academy",Collaborative contribution - Cash,£000s,469.0
10007799,Newcastle University,England,North East,2018/19,"UKRI (except Research England), Royal Society and British Academy",Collaborative contribution - In kind,£000s,2888.0
10007799,Newcastle University,England,North East,2018/19,"UKRI (except Research England), Royal Society and British Academy",Total,£000s,18015.0
10007799,Newcastle University,England,North East,2018/19,"UKRI (except Research England), Royal Society and British Academy",Previous year's total,£000s,16593.0
10007799,Newcastle University,England,North East,2019/20,All,Public funding,£000s,53186.0
10007799,Newcastle University,England,North East,2019/20,All,Collaborative contribution - Cash,£000s,521.0
10007799,Newcastle University,England,North East,2019/20,All,Collaborative contribution - In kind,£000s,3270.0
10007799,Newcastle University,England,North East,2019/20,All,Total,£000s,56977.0
10007799,Newcastle University,England,North East,2019/20,All,Previous year's total,£000s,58639.0
10007799,Newcastle University,England,North East,2019/20,EU government,Public funding,£000s,8463.0
10007799,Newcastle University,England,North East,2019/20,EU government,Collaborative contribution - Cash,£000s,148.0
10007799,Newcastle University,England,North East,2019/20,EU government,Collaborative contribution - In kind,£000s,614.0
10007799,Newcastle University,England,North East,2019/20,EU government,Total,£000s,9225.0
10007799,Newcastle University,England,North East,2019/20,EU government,Previous year's total,£000s,9911.0
10007799,Newcastle University,England,North East,2019/20,Other,Public funding,£000s,13016.0
10007799,Newcastle University,England,North East,2019/20,Other,Collaborative contribution - Cash,£000s,0.0
10007799,Newcastle University,England,North East,2019/20,Other,Collaborative contribution - In kind,£000s,180.0
10007799,Newcastle University,England,North East,2019/20,Other,Total,£000s,13196.0
10007799,Newcastle University,England,North East,2019/20,Other,Previous year's total,£000s,14395.0
10007799,Newcastle University,England,North East,2019/20,Other UK government departments,Public funding,£000s,13426.0
10007799,Newcastle University,England,North East,2019/20,Other UK government departments,Collaborative contribution - Cash,£000s,0.0
10007799,Newcastle University,England,North East,2019/20,Other UK government departments,Collaborative contribution - In kind,£000s,6.0
10007799,Newcastle University,England,North East,2019/20,Other UK government departments,Total,£000s,13432.0
10007799,Newcastle University,England,North East,2019/20,Other UK government departments,Previous year's total,£000s,16318.0
10007799,Newcastle University,England,North East,2019/20,"UKRI (except Research England), Royal Society and British Academy",Public funding,£000s,18281.0
10007799,Newcastle University,England,North East,2019/20,"UKRI (except Research England), Royal Society and British Academy",Collaborative contribution - Cash,£000s,373.0
10007799,Newcastle University,England,North East,2019/20,"UKRI (except Research England), Royal Society and British Academy",Collaborative contribution - In kind,£000s,2470.0
10007799,Newcastle University,England,North East,2019/20,"UKRI (except Research England), Royal Society and British Academy",Total,£000s,21124.0
10007799,Newcastle University,England,North East,2019/20,"UKRI (except Research England), Royal Society and British Academy",Previous year's total,£000s,18015.0
10007799,Newcastle University,England,North East,2020/21,All,Public funding,£000s,46926.0
10007799,Newcastle University,England,North East,2020/21,All,Collaborative contribution - Cash,£000s,457.0
10007799,Newcastle University,England,North East,2020/21,All,Collaborative contribution - In kind,£000s,6240.0
10007799,Newcastle University,England,North East,2020/21,All,Total,£000s,53623.0
10007799,Newcastle University,England,North East,2020/21,All,Previous year's total,£000s,56977.0
10007799,Newcastle University,England,North East,2020/21,EU government,Public funding,£000s,7273.0
10007799,Newcastle University,England,North East,2020/21,EU government,Collaborative contribution - Cash,£000s,148.0
10007799,Newcastle University,England,North East,2020/21,EU government,Collaborative contribution - In kind,£000s,3274.0
10007799,Newcastle University,England,North East,2020/21,EU government,Total,£000s,10695.0
10007799,Newcastle University,England,North East,2020/21,EU government,Previous year's total,£000s,9225.0
10007799,Newcastle University,England,North East,2020/21,Other,Public funding,£000s,11541.0
10007799,Newcastle University,England,North East,2020/21,Other,Collaborative contribution - Cash,£000s,0.0
10007799,Newcastle University,England,North East,2020/21,Other,Collaborative contribution - In kind,£000s,187.0
10007799,Newcastle University,England,North East,2020/21,Other,Total,£000s,11728.0
10007799,Newcastle University,England,North East,2020/21,Other,Previous year's total,£000s,13196.0
10007799,Newcastle University,England,North East,2020/21,Other UK government departments,Public funding,£000s,15153.0
10007799,Newcastle University,England,North East,2020/21,Other UK government departments,Collaborative contribution - Cash,£000s,0.0
10007799,Newcastle University,England,North East,2020/21,Other UK government departments,Collaborative contribution - In kind,£000s,6.0
10007799,Newcastle University,England,North East,2020/21,Other UK government departments,Total,£000s,15159.0
10007799,Newcastle University,England,North East,2020/21,Other UK government departments,Previous year's total,£000s,13432.0
10007799,Newcastle University,England,North East,2020/21,"UKRI (except Research England), Royal Society and British Academy",Public funding,£000s,12959.0
10007799,Newcastle University,England,North East,2020/21,"UKRI (except Research England), Royal Society and British Academy",Collaborative contribution - Cash,£000s,309.0
10007799,Newcastle University,England,North East,2020/21,"UKRI (except Research England), Royal Society and British Academy",Collaborative contribution - In kind,£000s,2773.0
10007799,Newcastle University,England,North East,2020/21,"UKRI (except Research England), Royal Society and British Academy",Total,£000s,16041.0
10007799,Newcastle University,England,North East,2020/21,"UKRI (except Research England), Royal Society and British Academy",Previous year's total,£000s,21124.0
10007799,Newcastle University,England,North East,2021/22,All,Public funding,£000s,51664.0
10007799,Newcastle University,England,North East,2021/22,All,Collaborative contribution - Cash,£000s,138.0
10007799,Newcastle University,England,North East,2021/22,All,Collaborative contribution - In kind,£000s,22775.0
10007799,Newcastle University,England,North East,2021/22,All,Total,£000s,74577.0
10007799,Newcastle University,England,North East,2021/22,All,Previous year's total,£000s,53623.0
10007799,Newcastle University,England,North East,2021/22,EU government,Public funding,£000s,7148.0
10007799,Newcastle University,England,North East,2021/22,EU government,Collaborative contribution - Cash,£000s,8.0
10007799,Newcastle University,England,North East,2021/22,EU government,Collaborative contribution - In kind,£000s,3272.0
10007799,Newcastle University,England,North East,2021/22,EU government,Total,£000s,10428.0
10007799,Newcastle University,England,North East,2021/22,EU government,Previous year's total,£000s,10695.0
10007799,Newcastle University,England,North East,2021/22,Other,Public funding,£000s,12550.0
10007799,Newcastle University,England,North East,2021/22,Other,Collaborative contribution - Cash,£000s,0.0
10007799,Newcastle University,England,North East,2021/22,Other,Collaborative contribution - In kind,£000s,166.0
10007799,Newcastle University,England,North East,2021/22,Other,Total,£000s,12716.0
10007799,Newcastle University,England,North East,2021/22,Other,Previous year's total,£000s,11728.0
10007799,Newcastle University,England,North East,2021/22,Other UK government departments,Public funding,£000s,17850.0
10007799,Newcastle University,England,North East,2021/22,Other UK government departments,Collaborative contribution - Cash,£000s,0.0
10007799,Newcastle University,England,North East,2021/22,Other UK government departments,Collaborative contribution - In kind,£000s,16428.0
10007799,Newcastle University,England,North East,2021/22,Other UK government departments,Total,£000s,34278.0
10007799,Newcastle University,England,North East,2021/22,Other UK government departments,Previous year's total,£000s,15159.0
10007799,Newcastle University,England,North East,2021/22,"UKRI (except Research England), Royal Society and British Academy",Public funding,£000s,14116.0
10007799,Newcastle University,England,North East,2021/22,"UKRI (except Research England), Royal Society and British Academy",Collaborative contribution - Cash,£000s,130.0
10007799,Newcastle University,England,North East,2021/22,"UKRI (except Research England), Royal Society and British Academy",Collaborative contribution - In kind,£000s,2909.0
10007799,Newcastle University,England,North East,2021/22,"UKRI (except Research England), Royal Society and British Academy",Total,£000s,17155.0
10007799,Newcastle University,England,North East,2021/22,"UKRI (except Research England), Royal Society and British Academy",Previous year's total,£000s,16041.0
10007799,Newcastle University,England,North East,2022/23,All,Public funding,£000s,48742.0
10007799,Newcastle University,England,North East,2022/23,All,Collaborative contribution - Cash,£000s,781.0
10007799,Newcastle University,England,North East,2022/23,All,Collaborative contribution - In kind,£000s,15131.0
10007799,Newcastle University,England,North East,2022/23,All,Total,£000s,64654.0
10007799,Newcastle University,England,North East,2022/23,All,Previous year's total,£000s,74577.0
10007799,Newcastle University,England,North East,2022/23,EU government,Public funding,£000s,5785.0
10007799,Newcastle University,England,North East,2022/23,EU government,Collaborative contribution - Cash,£000s,765.0
10007799,Newcastle University,England,North East,2022/23,EU government,Collaborative contribution - In kind,£000s,6847.0
10007799,Newcastle University,England,North East,2022/23,EU government,Total,£000s,13397.0
10007799,Newcastle University,England,North East,2022/23,EU government,Previous year's total,£000s,10428.0
10007799,Newcastle University,England,North East,2022/23,Other,Public funding,£000s,11272.0
10007799,Newcastle University,England,North East,2022/23,Other,Collaborative contribution - Cash,£000s,0.0
10007799,Newcastle University,England,North East,2022/23,Other,Collaborative contribution - In kind,£000s,112.0
10007799,Newcastle University,England,North East,2022/23,Other,Total,£000s,11384.0
10007799,Newcastle University,England,North East,2022/23,Other,Previous year's total,£000s,12716.0
10007799,Newcastle University,England,North East,2022/23,Other UK government departments,Public funding,£000s,19738.0
10007799,Newcastle University,England,North East,2022/23,Other UK government departments,Collaborative contribution - Cash,£000s,0.0
10007799,Newcastle University,England,North East,2022/23,Other UK government departments,Collaborative contribution - In kind,£000s,6318.0
10007799,Newcastle University,England,North East,2022/23,Other UK government departments,Total,£000s,26056.0
10007799,Newcastle University,England,North East,2022/23,Other UK government departments,Previous year's total,£000s,34278.0
10007799,Newcastle University,England,North East,2022/23,"UKRI (except Research England), Royal Society and British Academy",Public funding,£000s,11947.0
10007799,Newcastle University,England,North East,2022/23,"UKRI (except Research England), Royal Society and British Academy",Collaborative contribution - Cash,£000s,16.0
10007799,Newcastle University,England,North East,2022/23,"UKRI (except Research England), Royal Society and British Academy",Collaborative contribution - In kind,£000s,1854.0
10007799,Newcastle University,England,North East,2022/23,"UKRI (except Research England), Royal Society and British Academy",Total,£000s,13817.0
10007799,Newcastle University,England,North East,2022/23,"UKRI (except Research England), Royal Society and British Academy",Previous year's total,£000s,17155.0
10007799,Newcastle University,England,North East,2023/24,All,Public funding,£000s,56049.0
10007799,Newcastle University,England,North East,2023/24,All,Collaborative contribution - Cash,£000s,1012.0
10007799,Newcastle University,England,North East,2023/24,All,Collaborative contribution - In kind,£000s,16075.0
10007799,Newcastle University,England,North East,2023/24,All,Total,£000s,73136.0
10007799,Newcastle University,England,North East,2023/24,All,Previous year's total,£000s,64654.0
10007799,Newcastle University,England,North East,2023/24,EU government,Public funding,£000s,4230.0
10007799,Newcastle University,England,North East,2023/24,EU government,Collaborative contribution - Cash,£000s,714.0
10007799,Newcastle University,England,North East,2023/24,EU government,Collaborative contribution - In kind,£000s,6543.0
10007799,Newcastle University,England,North East,2023/24,EU government,Total,£000s,11487.0
10007799,Newcastle University,England,North East,2023/24,EU government,Previous year's total,£000s,13397.0
10007799,Newcastle University,England,North East,2023/24,Other,Public funding,£000s,14490.0
10007799,Newcastle University,England,North East,2023/24,Other,Collaborative contribution - Cash,£000s,184.0
10007799,Newcastle University,England,North East,2023/24,Other,Collaborative contribution - In kind,£000s,92.0
10007799,Newcastle University,England,North East,2023/24,Other,Total,£000s,14766.0
10007799,Newcastle University,England,North East,2023/24,Other,Previous year's total,£000s,11384.0
10007799,Newcastle University,England,North East,2023/24,Other UK government departments,Public funding,£000s,23178.0
10007799,Newcastle University,England,North East,2023/24,Other UK government departments,Collaborative contribution - Cash,£000s,25.0
10007799,Newcastle University,England,North East,2023/24,Other UK government departments,Collaborative contribution - In kind,£000s,7458.0
10007799,Newcastle University,England,North East,2023/24,Other UK government departments,Total,£000s,30661.0
10007799,Newcastle University,England,North East,2023/24,Other UK government departments,Previous year's total,£000s,26056.0
10007799,Newcastle University,England,North East,2023/24,"UKRI (except Research England), Royal Society and British Academy",Public funding,£000s,14151.0
10007799,Newcastle University,England,North East,2023/24,"UKRI (except Research England), Royal Society and British Academy",Collaborative contribution - Cash,£000s,89.0
10007799,Newcastle University,England,North East,2023/24,"UKRI (except Research England), Royal Society and British Academy",Collaborative contribution - In kind,£000s,1982.0
10007799,Newcastle University,England,North East,2023/24,"UKRI (except Research England), Royal Society and British Academy",Total,£000s,16222.0
10007799,Newcastle University,England,North East,2023/24,"UKRI (except Research England), Royal Society and British Academy",Previous year's total,£000s,13817.0
10001282,University of Northumbria at Newcastle,England,North East,2015/16,All,Public funding,£000s,2468.0
10001282,University of Northumbria at Newcastle,England,North East,2015/16,All,Collaborative contribution - Cash,£000s,223.0
10001282,University of Northumbria at Newcastle,England,North East,2015/16,All,Collaborative contribution - In kind,£000s,197.0
10001282,University of Northumbria at Newcastle,England,North East,2015/16,All,Total,£000s,2888.0
10001282,University of Northumbria at Newcastle,England,North East,2015/16,All,Previous year's total,£000s,2672.0
10001282,University of Northumbria at Newcastle,England,North East,2015/16,BEIS Research Councils,Public funding,£000s,1195.0
10001282,University of Northumbria at Newcastle,England,North East,2015/16,BEIS Research Councils,Collaborative contribution - Cash,£000s,0.0
10001282,University of Northumbria at Newcastle,England,North East,2015/16,BEIS Research Councils,Collaborative contribution - In kind,£000s,113.0
10001282,University of Northumbria at Newcastle,England,North East,2015/16,BEIS Research Councils,Total,£000s,1308.0
10001282,University of Northumbria at Newcastle,England,North East,2015/16,BEIS Research Councils,Previous year's total,£000s,997.0
10001282,University of Northumbria at Newcastle,England,North East,2015/16,EU government,Public funding,£000s,424.0
10001282,University of Northumbria at Newcastle,England,North East,2015/16,EU government,Collaborative contribution - Cash,£000s,0.0
10001282,University of Northumbria at Newcastle,England,North East,2015/16,EU government,Collaborative contribution - In kind,£000s,74.0
10001282,University of Northumbria at Newcastle,England,North East,2015/16,EU government,Total,£000s,498.0
10001282,University of Northumbria at Newcastle,England,North East,2015/16,EU government,Previous year's total,£000s,665.0
10001282,University of Northumbria at Newcastle,England,North East,2015/16,Other,Public funding,£000s,139.0
10001282,University of Northumbria at Newcastle,England,North East,2015/16,Other,Collaborative contribution - Cash,£000s,0.0
10001282,University of Northumbria at Newcastle,England,North East,2015/16,Other,Collaborative contribution - In kind,£000s,10.0
10001282,University of Northumbria at Newcastle,England,North East,2015/16,Other,Total,£000s,149.0
10001282,University of Northumbria at Newcastle,England,North East,2015/16,Other,Previous year's total,£000s,55.0
10001282,University of Northumbria at Newcastle,England,North East,2015/16,Other UK government departments,Public funding,£000s,710.0
10001282,University of Northumbria at Newcastle,England,North East,2015/16,Other UK government departments,Collaborative contribution - Cash,£000s,223.0
10001282,University of Northumbria at Newcastle,England,North East,2015/16,Other UK government departments,Collaborative contribution - In kind,£000s,0.0
10001282,University of Northumbria at Newcastle,England,North East,2015/16,Other UK government departments,Total,£000s,933.0
10001282,University of Northumbria at Newcastle,England,North East,2015/16,Other UK government departments,Previous year's total,£000s,955.0
10001282,University of Northumbria at Newcastle,England,North East,2016/17,All,Public funding,£000s,2831.0
10001282,University of Northumbria at Newcastle,England,North East,2016/17,All,Collaborative contribution - Cash,£000s,143.0
10001282,University of Northumbria at Newcastle,England,North East,2016/17,All,Collaborative contribution - In kind,£000s,199.0
10001282,University of Northumbria at Newcastle,England,North East,2016/17,All,Total,£000s,3173.0
10001282,University of Northumbria at Newcastle,England,North East,2016/17,All,Previous year's total,£000s,2888.0
10001282,University of Northumbria at Newcastle,England,North East,2016/17,BEIS Research Councils,Public funding,£000s,1393.0
10001282,University of Northumbria at Newcastle,England,North East,2016/17,BEIS Research Councils,Collaborative contribution - Cash,£000s,0.0
10001282,University of Northumbria at Newcastle,England,North East,2016/17,BEIS Research Councils,Collaborative contribution - In kind,£000s,112.0
10001282,University of Northumbria at Newcastle,England,North East,2016/17,BEIS Research Councils,Total,£000s,1505.0
10001282,University of Northumbria at Newcastle,England,North East,2016/17,BEIS Research Councils,Previous year's total,£000s,1308.0
10001282,University of Northumbria at Newcastle,England,North East,2016/17,EU government,Public funding,£000s,606.0
10001282,University of Northumbria at Newcastle,England,North East,2016/17,EU government,Collaborative contribution - Cash,£000s,0.0
10001282,University of Northumbria at Newcastle,England,North East,2016/17,EU government,Collaborative contribution - In kind,£000s,46.0
10001282,University of Northumbria at Newcastle,England,North East,2016/17,EU government,Total,£000s,652.0
10001282,University of Northumbria at Newcastle,England,North East,2016/17,EU government,Previous year's total,£000s,498.0
10001282,University of Northumbria at Newcastle,England,North East,2016/17,Other,Public funding,£000s,148.0
10001282,University of Northumbria at Newcastle,England,North East,2016/17,Other,Collaborative contribution - Cash,£000s,0.0
10001282,University of Northumbria at Newcastle,England,North East,2016/17,Other,Collaborative contribution - In kind,£000s,9.0
10001282,University of Northumbria at Newcastle,England,North East,2016/17,Other,Total,£000s,157.0
10001282,University of Northumbria at Newcastle,England,North East,2016/17,Other,Previous year's total,£000s,149.0
10001282,University of Northumbria at Newcastle,England,North East,2016/17,Other UK government departments,Public funding,£000s,684.0
10001282,University of Northumbria at Newcastle,England,North East,2016/17,Other UK government departments,Collaborative contribution - Cash,£000s,143.0
10001282,University of Northumbria at Newcastle,England,North East,2016/17,Other UK government departments,Collaborative contribution - In kind,£000s,32.0
10001282,University of Northumbria at Newcastle,England,North East,2016/17,Other UK government departments,Total,£000s,859.0
10001282,University of Northumbria at Newcastle,England,North East,2016/17,Other UK government departments,Previous year's total,£000s,933.0
10001282,University of Northumbria at Newcastle,England,North East,2017/18,All,Public funding,£000s,3944.0
10001282,University of Northumbria at Newcastle,England,North East,2017/18,All,Collaborative contribution - Cash,£000s,166.0
10001282,University of Northumbria at Newcastle,England,North East,2017/18,All,Collaborative contribution - In kind,£000s,342.0
10001282,University of Northumbria at Newcastle,England,North East,2017/18,All,Total,£000s,4452.0
10001282,University of Northumbria at Newcastle,England,North East,2017/18,All,Previous year's total,£000s,3173.0
10001282,University of Northumbria at Newcastle,England,North East,2017/18,BEIS Research Councils,Public funding,£000s,1804.0
10001282,University of Northumbria at Newcastle,England,North East,2017/18,BEIS Research Councils,Collaborative contribution - Cash,£000s,0.0
10001282,University of Northumbria at Newcastle,England,North East,2017/18,BEIS Research Councils,Collaborative contribution - In kind,£000s,298.0
10001282,University of Northumbria at Newcastle,England,North East,2017/18,BEIS Research Councils,Total,£000s,2102.0
10001282,University of Northumbria at Newcastle,England,North East,2017/18,BEIS Research Councils,Previous year's total,£000s,1505.0
10001282,University of Northumbria at Newcastle,England,North East,2017/18,EU government,Public funding,£000s,918.0
10001282,University of Northumbria at Newcastle,England,North East,2017/18,EU government,Collaborative contribution - Cash,£000s,0.0
10001282,University of Northumbria at Newcastle,England,North East,2017/18,EU government,Collaborative contribution - In kind,£000s,14.0
10001282,University of Northumbria at Newcastle,England,North East,2017/18,EU government,Total,£000s,932.0
10001282,University of Northumbria at Newcastle,England,North East,2017/18,EU government,Previous year's total,£000s,652.0
10001282,University of Northumbria at Newcastle,England,North East,2017/18,Other,Public funding,£000s,353.0
10001282,University of Northumbria at Newcastle,England,North East,2017/18,Other,Collaborative contribution - Cash,£000s,0.0
10001282,University of Northumbria at Newcastle,England,North East,2017/18,Other,Collaborative contribution - In kind,£000s,26.0
10001282,University of Northumbria at Newcastle,England,North East,2017/18,Other,Total,£000s,379.0
10001282,University of Northumbria at Newcastle,England,North East,2017/18,Other,Previous year's total,£000s,157.0
10001282,University of Northumbria at Newcastle,England,North East,2017/18,Other UK government departments,Public funding,£000s,869.0
10001282,University of Northumbria at Newcastle,England,North East,2017/18,Other UK government departments,Collaborative contribution - Cash,£000s,166.0
10001282,University of Northumbria at Newcastle,England,North East,2017/18,Other UK government departments,Collaborative contribution - In kind,£000s,4.0
10001282,University of Northumbria at Newcastle,England,North East,2017/18,Other UK government departments,Total,£000s,1039.0
10001282,University of Northumbria at Newcastle,England,North East,2017/18,Other UK government departments,Previous year's total,£000s,859.0
10001282,University of Northumbria at Newcastle,England,North East,2018/19,All,Public funding,£000s,5108.0
10001282,University of Northumbria at Newcastle,England,North East,2018/19,All,Collaborative contribution - Cash,£000s,214.0
10001282,University of Northumbria at Newcastle,England,North East,2018/19,All,Collaborative contribution - In kind,£000s,261.0
10001282,University of Northumbria at Newcastle,England,North East,2018/19,All,Total,£000s,5583.0
10001282,University of Northumbria at Newcastle,England,North East,2018/19,All,Previous year's total,£000s,4452.0
10001282,University of Northumbria at Newcastle,England,North East,2018/19,EU government,Public funding,£000s,1077.0
10001282,University of Northumbria at Newcastle,England,North East,2018/19,EU government,Collaborative contribution - Cash,£000s,0.0
10001282,University of Northumbria at Newcastle,England,North East,2018/19,EU government,Collaborative contribution - In kind,£000s,12.0
10001282,University of Northumbria at Newcastle,England,North East,2018/19,EU government,Total,£000s,1089.0
10001282,University of Northumbria at Newcastle,England,North East,2018/19,EU government,Previous year's total,£000s,932.0
10001282,University of Northumbria at Newcastle,England,North East,2018/19,Other,Public funding,£000s,377.0
10001282,University of Northumbria at Newcastle,England,North East,2018/19,Other,Collaborative contribution - Cash,£000s,0.0
10001282,University of Northumbria at Newcastle,England,North East,2018/19,Other,Collaborative contribution - In kind,£000s,13.0
10001282,University of Northumbria at Newcastle,England,North East,2018/19,Other,Total,£000s,390.0
10001282,University of Northumbria at Newcastle,England,North East,2018/19,Other,Previous year's total,£000s,379.0
10001282,University of Northumbria at Newcastle,England,North East,2018/19,Other UK government departments,Public funding,£000s,1223.0
10001282,University of Northumbria at Newcastle,England,North East,2018/19,Other UK government departments,Collaborative contribution - Cash,£000s,214.0
10001282,University of Northumbria at Newcastle,England,North East,2018/19,Other UK government departments,Collaborative contribution - In kind,£000s,14.0
10001282,University of Northumbria at Newcastle,England,North East,2018/19,Other UK government departments,Total,£000s,1451.0
10001282,University of Northumbria at Newcastle,England,North East,2018/19,Other UK government departments,Previous year's total,£000s,1039.0
10001282,University of Northumbria at Newcastle,England,North East,2018/19,"UKRI (except Research England), Royal Society and British Academy",Public funding,£000s,2431.0
10001282,University of Northumbria at Newcastle,England,North East,2018/19,"UKRI (except Research England), Royal Society and British Academy",Collaborative contribution - Cash,£000s,0.0
10001282,University of Northumbria at Newcastle,England,North East,2018/19,"UKRI (except Research England), Royal Society and British Academy",Collaborative contribution - In kind,£000s,222.0
10001282,University of Northumbria at Newcastle,England,North East,2018/19,"UKRI (except Research England), Royal Society and British Academy",Total,£000s,2653.0
10001282,University of Northumbria at Newcastle,England,North East,2018/19,"UKRI (except Research England), Royal Society and British Academy",Previous year's total,£000s,2102.0
10001282,University of Northumbria at Newcastle,England,North East,2019/20,All,Public funding,£000s,5667.0
10001282,University of Northumbria at Newcastle,England,North East,2019/20,All,Collaborative contribution - Cash,£000s,227.0
10001282,University of Northumbria at Newcastle,England,North East,2019/20,All,Collaborative contribution - In kind,£000s,525.0
10001282,University of Northumbria at Newcastle,England,North East,2019/20,All,Total,£000s,6419.0
10001282,University of Northumbria at Newcastle,England,North East,2019/20,All,Previous year's total,£000s,5583.0
10001282,University of Northumbria at Newcastle,England,North East,2019/20,EU government,Public funding,£000s,1194.0
10001282,University of Northumbria at Newcastle,England,North East,2019/20,EU government,Collaborative contribution - Cash,£000s,0.0
10001282,University of Northumbria at Newcastle,England,North East,2019/20,EU government,Collaborative contribution - In kind,£000s,10.0
10001282,University of Northumbria at Newcastle,England,North East,2019/20,EU government,Total,£000s,1204.0
10001282,University of Northumbria at Newcastle,England,North East,2019/20,EU government,Previous year's total,£000s,1089.0
10001282,University of Northumbria at Newcastle,England,North East,2019/20,Other,Public funding,£000s,586.0
10001282,University of Northumbria at Newcastle,England,North East,2019/20,Other,Collaborative contribution - Cash,£000s,0.0
10001282,University of Northumbria at Newcastle,England,North East,2019/20,Other,Collaborative contribution - In kind,£000s,299.0
10001282,University of Northumbria at Newcastle,England,North East,2019/20,Other,Total,£000s,885.0
10001282,University of Northumbria at Newcastle,England,North East,2019/20,Other,Previous year's total,£000s,390.0
10001282,University of Northumbria at Newcastle,England,North East,2019/20,Other UK government departments,Public funding,£000s,1258.0
10001282,University of Northumbria at Newcastle,England,North East,2019/20,Other UK government departments,Collaborative contribution - Cash,£000s,227.0
10001282,University of Northumbria at Newcastle,England,North East,2019/20,Other UK government departments,Collaborative contribution - In kind,£000s,3.0
10001282,University of Northumbria at Newcastle,England,North East,2019/20,Other UK government departments,Total,£000s,1488.0
10001282,University of Northumbria at Newcastle,England,North East,2019/20,Other UK government departments,Previous year's total,£000s,1451.0
10001282,University of Northumbria at Newcastle,England,North East,2019/20,"UKRI (except Research England), Royal Society and British Academy",Public funding,£000s,2629.0
10001282,University of Northumbria at Newcastle,England,North East,2019/20,"UKRI (except Research England), Royal Society and British Academy",Collaborative contribution - Cash,£000s,0.0
10001282,University of Northumbria at Newcastle,England,North East,2019/20,"UKRI (except Research England), Royal Society and British Academy",Collaborative contribution - In kind,£000s,213.0
10001282,University of Northumbria at Newcastle,England,North East,2019/20,"UKRI (except Research England), Royal Society and British Academy",Total,£000s,2842.0
10001282,University of Northumbria at Newcastle,England,North East,2019/20,"UKRI (except Research England), Royal Society and British Academy",Previous year's total,£000s,2653.0
10001282,University of Northumbria at Newcastle,England,North East,2020/21,All,Public funding,£000s,8790.0
10001282,University of Northumbria at Newcastle,England,North East,2020/21,All,Collaborative contribution - Cash,£000s,203.0
10001282,University of Northumbria at Newcastle,England,North East,2020/21,All,Collaborative contribution - In kind,£000s,783.0
10001282,University of Northumbria at Newcastle,England,North East,2020/21,All,Total,£000s,9776.0
10001282,University of Northumbria at Newcastle,England,North East,2020/21,All,Previous year's total,£000s,6419.0
10001282,University of Northumbria at Newcastle,England,North East,2020/21,EU government,Public funding,£000s,1431.0
10001282,University of Northumbria at Newcastle,England,North East,2020/21,EU government,Collaborative contribution - Cash,£000s,0.0
10001282,University of Northumbria at Newcastle,England,North East,2020/21,EU government,Collaborative contribution - In kind,£000s,10.0
10001282,University of Northumbria at Newcastle,England,North East,2020/21,EU government,Total,£000s,1441.0
10001282,University of Northumbria at Newcastle,England,North East,2020/21,EU government,Previous year's total,£000s,1204.0
10001282,University of Northumbria at Newcastle,England,North East,2020/21,Other,Public funding,£000s,1691.0
10001282,University of Northumbria at Newcastle,England,North East,2020/21,Other,Collaborative contribution - Cash,£000s,0.0
10001282,University of Northumbria at Newcastle,England,North East,2020/21,Other,Collaborative contribution - In kind,£000s,117.0
10001282,University of Northumbria at Newcastle,England,North East,2020/21,Other,Total,£000s,1808.0
10001282,University of Northumbria at Newcastle,England,North East,2020/21,Other,Previous year's total,£000s,885.0
10001282,University of Northumbria at Newcastle,England,North East,2020/21,Other UK government departments,Public funding,£000s,2402.0
10001282,University of Northumbria at Newcastle,England,North East,2020/21,Other UK government departments,Collaborative contribution - Cash,£000s,203.0
10001282,University of Northumbria at Newcastle,England,North East,2020/21,Other UK government departments,Collaborative contribution - In kind,£000s,6.0
10001282,University of Northumbria at Newcastle,England,North East,2020/21,Other UK government departments,Total,£000s,2611.0
10001282,University of Northumbria at Newcastle,England,North East,2020/21,Other UK government departments,Previous year's total,£000s,1488.0
10001282,University of Northumbria at Newcastle,England,North East,2020/21,"UKRI (except Research England), Royal Society and British Academy",Public funding,£000s,3266.0
10001282,University of Northumbria at Newcastle,England,North East,2020/21,"UKRI (except Research England), Royal Society and British Academy",Collaborative contribution - Cash,£000s,0.0
10001282,University of Northumbria at Newcastle,England,North East,2020/21,"UKRI (except Research England), Royal Society and British Academy",Collaborative contribution - In kind,£000s,650.0
10001282,University of Northumbria at Newcastle,England,North East,2020/21,"UKRI (except Research England), Royal Society and British Academy",Total,£000s,3916.0
